match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2061,1996-05-11,Malawi,Zambia,0.0,1.0,Friendly,Blantyre,Malawi,False
2062,1996-05-11,Tahiti,Solomon Islands,2.0,1.0,Oceania Nations Cup,Papeete,French Polynesia,True
2063,1996-05-12,Burkina Faso,Niger,0.0,0.0,Friendly,Ouagadougou,Burkina Faso,False
2064,1996-05-12,Cayman Islands,Cuba,0.0,1.0,FIFA World Cup qualification,George Town,Cayman Islands,False
2065,1996-05-12,Haiti,Grenada,6.0,1.0,FIFA World Cup qualification,Port-au-Prince,Haiti,False
2066,1996-05-12,Lebanon,Turkmenistan,3.0,1.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2067,1996-05-12,Malawi,Zambia,1.0,1.0,Friendly,Blantyre,Malawi,False
2068,1996-05-12,Eswatini,Mozambique,0.0,1.0,Friendly,Mbabane,Eswatini,False
2069,1996-05-14,Cayman Islands,Cuba,0.0,5.0,FIFA World Cup qualification,George Town,Cayman Islands,False
2070,1996-05-14,Dominica,Barbados,0.0,1.0,FIFA World Cup qualification,Roseau,Dominica,False
2071,1996-05-16,South Korea,Sweden,0.0,2.0,Friendly,Seoul,South Korea,False
2072,1996-05-17,Iran,Qatar,2.0,0.0,Friendly,Tabriz,Iran,False
2073,1996-05-17,Mauritania,Senegal,0.0,0.0,Friendly,Nouakchott,Mauritania,False
2074,1996-05-18,England,Hungary,3.0,0.0,Friendly,London,England,False
2075,1996-05-18,Grenada,Haiti,0.0,1.0,FIFA World Cup qualification,St. George's,Grenada,False
2076,1996-05-18,Mexico,Slovakia,5.0,2.0,Friendly,Chicago,United States,True
2077,1996-05-19,Barbados,Dominica,1.0,0.0,FIFA World Cup qualification,Bridgetown,Barbados,False
2078,1996-05-19,Gambia,Guinea,1.0,1.0,Friendly,Banjul,Gambia,False
2079,1996-05-19,Saint Lucia,Saint Kitts and Nevis,0.0,1.0,FIFA World Cup qualification,Castries,Saint Lucia,False
2080,1996-05-19,Zambia,Tanzania,1.0,0.0,Friendly,Lusaka,Zambia,False
2081,1996-05-21,Slovenia,United Arab Emirates,2.0,2.0,Friendly,Ljubljana,Slovenia,False
2082,1996-05-21,Zambia,Tanzania,0.0,0.0,Friendly,Kitwe,Zambia,False
2083,1996-05-23,U.S. Virgin Islands,England,0.0,3.0,Friendly,Beijing,U.S. Virgin Islands,False
2084,1996-05-23,Kuwait,Syria,3.0,1.0,Friendly,Kuwait City,Kuwait,False
2085,1996-05-23,Mexico,Serbia,0.0,0.0,Kirin Cup,Shizuoka,Japan,True
2086,1996-05-24,Trinidad and Tobago,Jamaica,1.0,0.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
2087,1996-05-25,Cuba,Saint Vincent and the Grenadines,2.0,0.0,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True
2088,1996-05-25,Mauritius,Madagascar,0.0,0.0,Friendly,Rose Hill,Mauritius,False
2089,1996-05-25,Qatar,Russia,2.0,5.0,Friendly,Doha,Qatar,False
2090,1996-05-25,Uganda,Kenya,1.0,1.0,Friendly,Kampala,Uganda,False
2091,1996-05-26,Chile,Bolivia,2.0,0.0,Friendly,Santiago,Chile,False
2092,1996-05-26,Gabon,Ivory Coast,0.0,1.0,Friendly,Libreville,Gabon,False
2093,1996-05-26,Ghana,Egypt,0.0,2.0,Friendly,Accra,Ghana,False
2094,1996-05-26,Jamaica,Saint Kitts and Nevis,4.0,1.0,CFU Caribbean Cup,Palo Seco,Trinidad and Tobago,True
2095,1996-05-26,Japan,Serbia,1.0,0.0,Kirin Cup,Tokyo,Japan,False
2096,1996-05-26,Malawi,Mozambique,1.0,0.0,Friendly,Blantyre,Malawi,False
2097,1996-05-26,Trinidad and Tobago,Suriname,3.0,0.0,CFU Caribbean Cup,Palo Seco,Trinidad and Tobago,False
2098,1996-05-26,Tunisia,Senegal,2.0,0.0,Friendly,Tunis,Tunisia,False
2099,1996-05-26,Turkmenistan,Lebanon,0.0,1.0,AFC Asian Cup qualification,Ashgabat,Turkmenistan,False
2100,1996-05-26,Uganda,Kenya,1.0,2.0,Friendly,Kampala,Uganda,False
2101,1996-05-26,United States,Scotland,2.0,1.0,Friendly,New Britain,United States,False
2102,1996-05-27,Belarus,Azerbaijan,2.0,2.0,Friendly,Maladzečna,Belarus,False
2103,1996-05-28,Bulgaria,North Macedonia,3.0,0.0,Friendly,Sofia,Bulgaria,False
2104,1996-05-28,Suriname,Jamaica,3.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
2105,1996-05-28,Trinidad and Tobago,Saint Kitts and Nevis,5.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
2106,1996-05-29,Austria,Czech Republic,1.0,0.0,Friendly,Salzburg,Austria,False
2107,1996-05-29,Colombia,Scotland,1.0,0.0,Friendly,Miami,United States,True
2108,1996-05-29,Cuba,Haiti,0.0,0.0,CFU Caribbean Cup,Arima,Trinidad and Tobago,True
2109,1996-05-29,Estonia,Turkey,0.0,0.0,Friendly,Tallinn,Estonia,False
2110,1996-05-29,France,Finland,2.0,0.0,Friendly,Strasbourg,France,False
