Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-01 05:02:58,false,"Santiago de Surco Running","7.06","404","00:43:13","141","163","181","187","6:07","4:50","23","98","0.90","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:15.3","8","NaN","--","--","--","00:43:03","00:43:13","148","224"
Running,2024-04-30 04:20:40,false,"Santiago de Surco Running","7.36","441","00:43:34","149","164","184","193","5:55","5:07","24","83","0.92","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:49.3","8","NaN","--","--","--","00:43:32","00:43:34","126","196"
Running,2024-04-26 05:01:16,false,"Santiago de Surco Running","8.08","504","00:48:37","155","172","178","191","6:01","5:06","43","177","0.93","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:20.8","9","NaN","--","--","--","00:48:34","00:48:37","12","154"
Running,2024-04-25 04:21:39,false,"Santiago de Surco Running","16.27","1,090","01:34:07","165","193","177","187","5:47","5:05","65","151","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:21.1","17","NaN","--","--","--","01:34:01","01:34:07","72","156"
Running,2024-04-24 05:03:24,false,"Santiago de Surco Running","7.06","413","00:39:24","152","176","183","191","5:35","4:27","24","87","0.98","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:15.7","8","NaN","--","--","--","00:39:21","00:39:24","18","103"
Running,2024-04-23 04:56:27,false,"Santiago de Surco Running","11.02","627","01:01:10","152","169","182","191","5:33","4:41","46","110","0.99","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:06.9","12","NaN","--","--","--","01:01:02","01:01:10","68","136"
Running,2024-04-22 17:53:06,false,"Santiago de Surco Running","6.17","337","00:33:21","148","164","177","197","5:24","4:25","21","84","1.04","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:44.7","7","NaN","--","--","--","00:33:17","00:33:21","75","151"
Running,2024-04-20 05:55:16,false,"Santiago de Surco Running","4.12","233","00:23:57","147","170","175","189","5:49","4:38","--","84","0.98","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:32.1","5","NaN","--","--","--","00:23:56","00:23:57","29","118"
Running,2024-04-19 05:01:21,false,"Santiago de Surco Running","14.07","826","01:20:07","154","167","172","181","5:42","4:37","43","137","1.02","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:18.6","15","NaN","--","--","--","01:19:56","01:20:07","8","106"
Running,2024-04-18 04:59:36,false,"Santiago de Surco Running","8.34","457","00:44:30","152","170","177","189","5:20","4:16","11","112","1.06","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:32.2","9","NaN","--","--","--","00:44:24","00:44:30","44","146"
Running,2024-04-17 06:15:07,false,"Santiago de Surco Running","5.02","274","00:27:37","149","158","180","189","5:30","4:21","4","94","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:04.3","6","NaN","--","--","--","00:27:34","00:27:37","48","139"
Running,2024-04-16 22:01:23,false,"Santiago de Surco Running","2.44","159","00:16:29","152","179","166","173","6:46","5:48","--","70","0.89","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:02:54.1","3","NaN","--","--","--","00:16:29","00:16:29","108","181"
Running,2024-04-15 05:16:09,false,"Santiago de Surco Running","10.70","566","00:59:32","144","164","178","187","5:34","4:39","22","207","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:03:25.1","11","NaN","--","--","--","00:59:25","00:59:32","-44","147"
Running,2024-04-14 21:16:10,false,"Santiago de Surco Running","4.11","289","00:26:09","163","183","168","181","6:22","5:05","2","82","0.94","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:33.3","5","NaN","--","--","--","00:26:07","00:26:09","65","147"
Running,2024-04-13 07:43:54,false,"Santiago de Surco Running","8.05","441","00:46:25","144","163","172","185","5:46","5:12","34","71","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:15.2","9","NaN","--","--","--","00:46:22","00:46:25","135","182"
